"item_id","path_or_entry","category","role","git_tracked","review_status","version_or_provenance","scientific_claim","inspection_method_scope","finding_or_reason"
"MANIFEST-A1","audit/FIGURE_MANIFEST.md#A1","paper figure manifest","one of 32 source-figure obligations","yes","read and cross-checked","current manifest plus r1_coverage.csv","delivery/merge/schematic/discussion disposition","manifest and R1 coverage rows compared","covered; does not mean a unique exact source-figure reproduction"
"MANIFEST-A2","audit/FIGURE_MANIFEST.md#A2","paper figure manifest","one of 32 source-figure obligations","yes","read and cross-checked","current manifest plus r1_coverage.csv","delivery/merge/schematic/discussion disposition","manifest and R1 coverage rows compared","covered; does not mean a unique exact source-figure reproduction"
"MANIFEST-A3","audit/FIGURE_MANIFEST.md#A3","paper figure manifest","one of 32 source-figure obligations","yes","read and cross-checked","current manifest plus r1_coverage.csv","delivery/merge/schematic/discussion disposition","manifest and R1 coverage rows compared","covered; does not mean a unique exact source-figure reproduction"
"ENTRY-run_t1_topology_applications","experiments/run_t1_topology_applications.m","MATLAB entry/config","public execution or configuration surface","yes","read complete relevant logic","current implementation","scientific contract and output behavior","function signature, defaults, assertions, output writers and plot calls read","T1 entry; two output arguments; default figure path is tracked audit directory"
"ENTRY-run_s1_five_cases","experiments/run_s1_five_cases.m","MATLAB entry/config","public execution or configuration surface","yes","read complete relevant logic","current implementation","scientific contract and output behavior","function signature, defaults, assertions, output writers and plot calls read","S1 entry; one output directory"
"ENTRY-run_s2_degenerate_noncompact","experiments/run_s2_degenerate_noncompact.m","MATLAB entry/config","public execution or configuration surface","yes","read complete relevant logic","current implementation","scientific contract and output behavior","function signature, defaults, assertions, output writers and plot calls read","S2 entry; one output directory"
"ENTRY-run_p1_payoff_properties","experiments/run_p1_payoff_properties.m","MATLAB entry/config","public execution or configuration surface","yes","read complete relevant logic","current implementation","scientific contract and output behavior","function signature, defaults, assertions, output writers and plot calls read","P1 entry; one output directory; new family plus legacy trap"
"ENTRY-run_x1_transformation_stability","experiments/run_x1_transformation_stability.m","MATLAB entry/config","public execution or configuration surface","yes","read complete relevant logic","current implementation","scientific contract and output behavior","function signature, defaults, assertions, output writers and plot calls read","X1 entry; one output directory; three trajectories separated"
"ENTRY-run_i1_incentive_budget","experiments/run_i1_incentive_budget.m","MATLAB entry/config","public execution or configuration surface","yes","read complete relevant logic","current implementation","scientific contract and output behavior","function signature, defaults, assertions, output writers and plot calls read","I1 entry; two output arguments; default figure path is tracked audit directory"
"ENTRY-run_r1_integration_review","experiments/run_r1_integration_review.m","MATLAB entry/config","public execution or configuration surface","yes","read complete relevant logic","current implementation","scientific contract and output behavior","function signature, defaults, assertions, output writers and plot calls read","R1 packaging entry; validates existing clean roots; does not rerun"
"ENTRY-t1_topology_parameters","experiments/configs/t1_topology_parameters.m","MATLAB entry/config","public execution or configuration surface","yes","read complete relevant logic","current implementation","scientific contract and output behavior","function signature, defaults, assertions, output writers and plot calls read","T1 provenance and parameter configuration"
"DOC-PROJECT_BRIEF.md","PROJECT_BRIEF.md","project/audit document","contract, decision or implementation evidence","yes","read","current tracked documentation","provenance, scope and evidence boundary","full document or complete current sections read","used only after FIRST_READ freeze"
"DOC-PROJECT_STATE.md","PROJECT_STATE.md","project/audit document","contract, decision or implementation evidence","yes","read","current tracked documentation","provenance, scope and evidence boundary","full document or complete current sections read","used only after FIRST_READ freeze"
"DOC-DECISIONS.md","DECISIONS.md","project/audit document","contract, decision or implementation evidence","yes","read","current tracked documentation","provenance, scope and evidence boundary","full document or complete current sections read","used only after FIRST_READ freeze"
"DOC-OPEN_QUESTIONS.md","OPEN_QUESTIONS.md","project/audit document","contract, decision or implementation evidence","yes","read","current tracked documentation","provenance, scope and evidence boundary","full document or complete current sections read","used only after FIRST_READ freeze"
"DOC-IMPLEMENTATION_PLAN.md","IMPLEMENTATION_PLAN.md","project/audit document","contract, decision or implementation evidence","yes","read","current tracked documentation","provenance, scope and evidence boundary","full document or complete current sections read","used only after FIRST_READ freeze"
"DOC-audit-AUTHOR_REVIEW.md","audit/AUTHOR_REVIEW.md","project/audit document","contract, decision or implementation evidence","yes","read","current tracked documentation","provenance, scope and evidence boundary","full document or complete current sections read","used only after FIRST_READ freeze"
"DOC-audit-AUDIT.md","audit/AUDIT.md","project/audit document","contract, decision or implementation evidence","yes","read","current tracked documentation","provenance, scope and evidence boundary","full document or complete current sections read","used only after FIRST_READ freeze"
"DOC-audit-FIGURE_MANIFEST.md","audit/FIGURE_MANIFEST.md","project/audit document","contract, decision or implementation evidence","yes","read","current tracked documentation","provenance, scope and evidence boundary","full document or complete current sections read","used only after FIRST_READ freeze"
"DOC-audit-implementation-R1_FIGURE_GUIDE.md","audit/implementation/R1_FIGURE_GUIDE.md","project/audit document","contract, decision or implementation evidence","yes","read","current tracked documentation","provenance, scope and evidence boundary","full document or complete current sections read","used only after FIRST_READ freeze"
"DOC-audit-implementation-M0.md","audit/implementation/M0.md","project/audit document","contract, decision or implementation evidence","yes","read","current tracked documentation","provenance, scope and evidence boundary","full document or complete current sections read","used only after FIRST_READ freeze"
"DOC-audit-implementation-T1.md","audit/implementation/T1.md","project/audit document","contract, decision or implementation evidence","yes","read","current tracked documentation","provenance, scope and evidence boundary","full document or complete current sections read","used only after FIRST_READ freeze"
"DOC-audit-implementation-S1.md","audit/implementation/S1.md","project/audit document","contract, decision or implementation evidence","yes","read","current tracked documentation","provenance, scope and evidence boundary","full document or complete current sections read","used only after FIRST_READ freeze"
"DOC-audit-implementation-S2.md","audit/implementation/S2.md","project/audit document","contract, decision or implementation evidence","yes","read","current tracked documentation","provenance, scope and evidence boundary","full document or complete current sections read","used only after FIRST_READ freeze"
"DOC-audit-implementation-P1.md","audit/implementation/P1.md","project/audit document","contract, decision or implementation evidence","yes","read","current tracked documentation","provenance, scope and evidence boundary","full document or complete current sections read","used only after FIRST_READ freeze"
"DOC-audit-implementation-X1.md","audit/implementation/X1.md","project/audit document","contract, decision or implementation evidence","yes","read","current tracked documentation","provenance, scope and evidence boundary","full document or complete current sections read","used only after FIRST_READ freeze"
"DOC-audit-implementation-I1.md","audit/implementation/I1.md","project/audit document","contract, decision or implementation evidence","yes","read","current tracked documentation","provenance, scope and evidence boundary","full document or complete current sections read","used only after FIRST_READ freeze"
"DOC-audit-implementation-R1.md","audit/implementation/R1.md","project/audit document","contract, decision or implementation evidence","yes","read","current tracked documentation","provenance, scope and evidence boundary","full document or complete current sections read","used only after FIRST_READ freeze"
"PDF-THESIS","source_material/papers/thesis.pdf","source PDF","thesis research chain and figures","no (source_material ignored)","read extracted text; key pages visually inspected","88-page local source","topology, stability, Pareto improvement, incentive design","all-page text extraction; visual pages 26,38,48,50,51,55,59,62,65,69,70,72,74,78","supports research chain; printed captions/claims require current author corrections and provenance boundaries"
"PDF-IFAC","source_material/papers/ifac_extension_37.pdf","source PDF","coordinate transformation paper","no (source_material ignored)","read extracted text; key pages visually inspected","13-page local source","non-bijective transform and stability certificate","all-page extraction; visual pages 3,11,12","printed eta0 and norm relation discrepancies are already recorded; current X1 does not silently copy them"
"PDF-ROOT","source_material/papers/root.pdf","source PDF","ACC/CSL incentive paper","no (source_material ignored)","read extracted text; key pages visually inspected","7-page local source","weak Pareto trap and sustainable-budget design","all-page extraction; visual pages 3,5,6","theorem remains conditional on invariant-set containment"
